id	user	date	date_kind	lon	lat	accuracy	url	title	user_id	found_via	date_raw
88564363	The Squirrel Conspiracy	2007-12-04	taken	105.834700	21.036700		https://commons.wikimedia.org/?curid=88564363	File:Ho Chi Minh Mausoleum in Hanoi front left.jpg	5239564	category-tree	4 December 2007 (original upload date)
40536194	Cccefalon	2011-05-11T08:38:23	taken	105.821353	21.020238		https://commons.wikimedia.org/?curid=40536194	File:Hanoi Vietnam Street-vendors-in-Hanoi-03.jpg	1544168	text-search (object-location)	2011:05:11 08:38:23
112811349	Nguyễn Trần Minh Long	2007-03-12T17:54:00	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=112811349	File:Thap Rua.jpg	7669615	text-search (object-location)	2007-03-12 17:54
6341602	VortBot	2007-07-13T02:39:13	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=6341602	File:Hoan Kiem Lake.jpg	6729803	text-search (object-location)	2007-07-13 02:39:13
10732643	Flickr upload bot	2009-12-02T00:49:47	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=10732643	File:Hoan Kiem Lake, Hanoi, Vietnam.jpg	152505	text-search (object-location)	2009:12:02 00:49:47
5627409	Paris 16	2007-03-12T17:54:49	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=5627409	File:Tháp Rùa 4.jpg	269373	text-search (object-location)	2007:03:12 17:54:49
3189924	Nguyễn Thanh Quang	2007-03-12T17:54:49	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=3189924	File:Tháp Rùa 2.jpg	4539	text-search (object-location)	2007:03:12 17:54:49
3848535	Rungbachduong	2007-08-28T12:03:52	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=3848535	File:Thap rua.jpg	208886	text-search (object-location)	2007:08:28 12:03:52
2994954	Nguyễn Thanh Quang	2007-10-16T13:17:00	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=2994954	File:Tháp Rùa.jpg	4539	text-search (object-location)	2007-10-16 13:17
10732633	Flickr upload bot	2009-01-05T13:07:18	taken	105.852300	21.027860		https://commons.wikimedia.org/?curid=10732633	File:Tháp Rùa 8.jpg	152505	text-search (object-location)	2009:01:05 13:07:18
14638059	File Upload Bot (Magnus Manske)	2009-09-26T08:55:54	taken	105.905556	21.008333		https://commons.wikimedia.org/?curid=14638059	File:ThoKhoi Dinh.JPG	40038	text-search (object-location)	2009:09:26 08:55:54
