user	date	lon	lat	geoprivacy
Benoît Prieur	2011-02-20	4.9525	45.82266667	open
Benoît Prieur	2011-02-20	4.9525	45.823	open
Benoît Prieur	2011-03-11	4.98116667	45.83016667	open
Benoît Prieur	2011-03-05	-73.99762	40.71363	open
Benoît Prieur	2011-03-18	4.87916667	45.77833333	open
Benoît Prieur	2011-03-22	4.975	45.82883333	open
Benoît Prieur	2011-03-20	4.82733333	45.7495	open
Benoît Prieur	2011-03-24	4.94766667	45.8195	open
Benoît Prieur	2011-03-24	4.89366667	45.78383333	open
Benoît Prieur	2011-03-24	4.88883333	45.78483333	open
Benoît Prieur	2011-03-24	4.8865	45.7845	open
Benoît Prieur	2011-03-24	4.93416667	45.81283333	open
Benoît Prieur	2011-03-24	4.93516667	45.81333333	open
Benoît Prieur	2011-03-24	4.93383333	45.80383333	open
Benoît Prieur	2011-03-29	4.93366667	45.80383333	open
Benoît Prieur	2011-04-02	4.95116667	45.824	open
Benoît Prieur	2011-04-02	4.952	45.82366667	open
Benoît Prieur	2011-04-02	4.95216667	45.82383333	open
Benoît Prieur	2011-04-02	4.952	45.82366667	open
Benoît Prieur	2011-04809	4.89233333	45.80366667	open
Benoît Prieur	2011-04-09	4.89233333	45.80366667	open
Benoît Prieur	2011-04-09	4.89283333	45.80383333	open
Benoît Prieur	2011-04-09	4.89266667	45.80383333	open
Benoît Prieur	2011-04-09	4.893	45.80383333	open
Benoît Prieur	2011-04-09	4.892	45.80383333	open
Benoît Prieur	2011-04-09	4.93383333	45.804	open
Benoît Prieur	2011-04-09	4.93383333	45.80466667	open
Benoît Prieur	2011-04-09	4.93233333	45.81483333	open
Benoît Prieur	2011-04-09	4.93233333	45.815	open
Benoît Prieur	2011-04-05 18:49:37	4.964	45.82466667	open
Benoît Prieur	2011-04-11 08:21:58	4.9365	45.81383333	open
Benoît Prieur	2011-04-12 08:18:38	4.9435	45.81733333	open
Benoît Prieur	2011-04-12 08:26:21	4.93233333	45.8065	open
Benoît Prieur	2011-04-12 08:33:41	4.9265	45.798	open
Benoît Prieur	2011-04-13 18:07:24	4.88733333	45.78483333	open
Benoît Prieur	2011-04-12 17:49:41	4.8865	45.78433333	open
Benoît Prieur	2011-04-12 17:50:52	4.88466667	45.78416667	open
Benoît Prieur	2011-04-12 17:51:01	4.88616667	45.7845	open
Benoît Prieur	2011-04-13 18:52:36	4.95416667	45.8225	open
Benoît Prieur	2011-04-12 17:54:18	4.88566667	45.78566667	open
Benoît Prieur	2011-04-12 17:54:49	4.88583333	45.78583333	open
Benoît Prieur	2011-04-12 17:55:09	4.886	45.78583333	open
Benoît Prieur	2011-04-12 17:56:58	4.88633333	45.78566667	open
Benoît Prieur	2011-04-12 17:58:38	4.89016667	45.78433333	open
Benoît Prieur	2011-04-12 18:06:31	4.884	45.78433333	open
Benoît Prieur	2011-04-12 18:11:33	4.88933333	45.78416667	open
Benoît Prieur	2011-04-12 18:13:33	4.887	45.786	open
Benoît Prieur	2011-04-12 18:13:42	4.887	45.78616667	open
Benoît Prieur	2011-04-12 18:13:23	4.887	45.78616667	open
Benoît Prieur	2011-04-13	4.92616667	45.80183333	open
Benoît Prieur	2011-04-15 08:15:16	2.308167	48.838833	open
Benoît Prieur	2011-04-15 08:28:01	4.934	45.80316667	open
Benoît Prieur	2011-04-15	4.887	45.78616667	open
Benoît Prieur	2011-04-30 09:45:22	4.97633333	45.83566667	open
Benoît Prieur	2011-04-30 09:45:38	4.9765	45.83583333	open
Benoît Prieur	2011-04-30 09:46:15	4.97616667	45.83583333	open
Benoît Prieur	2011-04-30 09:46:51	4.976	45.836	open
Benoît Prieur	2011-04-30 09:47:52	4.97583333	45.83566667	open
Benoît Prieur	2011-04-30 09:48:27	4.97616667	45.83566667	open
Benoît Prieur	2011-04-30 09:49:24	4.98583333	45.83233333	open
Benoît Prieur	2011-04-30 09:46:38	4.976	45.836	open
Benoît Prieur	2011-05-03 09:00:01	4.958	45.8235	open
Benoît Prieur	2011-05-24 19:30:45	4.964	45.82833333	open
Benoît Prieur	2011-06-01	-0.36716667	49.1865	open
Benoît Prieur	2011-06-01	-0.36733333	49.1865	open
Benoît Prieur	2011-06-06	4.96983333	45.832	open
Benoît Prieur	2011-06-06	4.97	45.832	open
Benoît Prieur	2011-06-06	4.97883333	45.83333333	open
Benoît Prieur	2011-06-06	4.9645	45.8285	open
Benoît Prieur	2011-06-06	4.9645	45.8285	open
Benoît Prieur	2008-08-24 10:27	6.221458	43.426284	open
Benoît Prieur	2011-05-03 23:53:13	4.83416667	45.76466667	open
Benoît Prieur	2011-06-06 18:53:58	4.954	45.82216667	open
Benoît Prieur	2011-07-05 10:42:29	4.9515	45.82466667	open
Benoît Prieur	2005-08	116.40564	39.890772	open
